騒然とする	そうぜんとする	시끄럽다
諭す	さとす	잘 타이르다
秩序	ちつじょ	질서
潜伏	せんぷく	잠복
朗らかな	ほがらかな	명랑한
振興	しんこう	진흥
軌跡	きせき	궤적
偏り	かたより	"편견, 치우침"
矛盾	むじゅん	모순
誇張	こちょう	과장
賄う	まかなう	"식사를 제공하다, 꾸려 나가다"
軽率な	けいそつな	경솔한
勇敢に	ゆうかんに	용감하게
忠告	ちゅうこく	충고
慕う	したう	"경모하다, 깊이 존경하다"
施錠	せじょう	자물쇠를 채움
沈下	ちんか	"침하, 물속에 가라앉음"
阻まれる	はばまれる	가로막히다
監督	かんとく	감독
派生	はせい	파생
透ける	すける	"비쳐 보이다, 들여다 보이다"
恩恵	おんけい	은혜
臨む	のぞむ	임하다
如実に	にょじつに	"여실히, 있는 그대로"
錯覚	さっかく	착각
尊い	とうとい	"소중하다, 귀중하다"
枯渇	こかつ	고갈
慰める	なぐさめる	"달래다, 위로하다"
克明に	こくめいに	극명하게
緊迫した	きんぱくした	긴박한
遺憾	いかん	유감
閉鎖	へいさ	폐쇄
心遣い	こころづかい	"마음을 씀, 걱정함, 배려"
憤る	いきどおる	"분개하다, 성내다"
貧富	ひんぷ	빈부
治癒	ちゆ	치유
干渉	かんしょう	간섭
粘る	ねばる	끈덕지게 버티다
巧妙	こうみょう	교묘함
促す	うながす	"재촉하다, 촉구하다"
措置	そち	조치
猛烈	もうれつ	맹렬함
克服	こくふく	극복
崩れやすい	くずれやすい	무너지기 쉽다
繫殖	はんしょく	번식
履歴	りれき	이력
映える	はえる	"빛나다, 비치다"
披露	ひろう	"피로, 공표함"
砕ける	くだける	"부서지다, 깨지다"
執着	しゅうちゃく	집착
債務	さいむ	채무
貢献	こうけん	공헌
潔い	いさぎよい	"떳떳하다, (미련없이) 깨끗하다"
回顧	かいこ	"회고, 회상"
偽り	いつわり	거짓
嫌悪感	けんおかん	혐오감
自粛	じしゅく	"자숙, 자제"
戒める	いましめる	"훈계하다, 제지하다, 징계하다"
丘陵	きゅうりょう	"구릉, 언덕"
豪快	ごうかい	호쾌함
忍耐	にんたい	인내
募る	つのる	"① 모집하다, 모으다 ② 점점 심해지다"
膨大	ぼうだい	방대함
滞る	とどこおる	"정체되다, 막히다, 밀리다"
驚嘆	きょうたん	경탄(놀라며 감탄함)
潤す	うるおす	① 축이다 ② 윤택하게 하다
殺菌	さっきん	살균
託される	たくされる	맡겨지다
傾斜する	けいしゃする	경사지다
暴露	ばくろ	폭로
開拓	かいたく	개척
復興	ふっこう	부흥
怠る	おこたる	게을리하다
了承	りょうしょう	"승낙, 납득, 양해"
指図	さしず	"지시, 지휘"
巡り	めぐり	"한바퀴 돎, 여기저기 들름"
樹木	じゅもく	수목
蓄える	たくわえる	"대비해 두다, 저장하다"
陳列	ちんれつ	진열
華やかな	はなやかな	화려한
鑑定	かんてい	(미술품 등의) 감정
偏る	かたよる	"치우치다, 기울다"
人脈	じんみゃく	인맥
顕著に	けんちょに	현저하게
多岐にわたる	たきにわたる	여러 갈래에 걸치다
廃れる	すたれる	"쇠퇴하다, 유행하지 않게 되다"
相場	そうば	시세
興奮	こうふん	흥분
唱える	となえる	"외치다, 주장하다"
変遷	へんせん	변천
値する	あたいする	"가치가 있다, ~할 만하다"
随時	ずいじ	"수시, 그때그때"
励む	はげむ	"힘쓰다, 노력하다"
添付	てんぷ	첨부
慕われる	したわれる	"존경받다, 사랑받다"
破損	はそん	파손
承諾	しょうだく	승낙
淡い	あわい	"(맛, 빛깔) 진하지 않다"
画一的	かくいつてき	획일적
概略	がいりゃく	"개략, 대략"
臨む	のぞむ	임하다
督促	とくそく	독촉
漂う	ただよう	"떠돌다, 표류하다"
厳正	げんせい	엄정함
拒む	こばむ	거부하다
躍進	やくしん	약진(눈부시게 진출함)
遂行	すいこう	"(계획, 책임 등) 수행"
凝縮	ぎょうしゅく	"응축, 응결"
健やかな	すこやかな	"튼튼한, 건강한"
中枢	ちゅうすう	중추
否めない	いなめない	부정할 수 없다
把握	はあく	파악
憤り	いきどおり	분노
趣旨	しゅし	취지
日夜	にちや	"① 밤낮 ② 언제나, 늘"
貫く	つらぬく	"관철하다, 관통하다"
貧富	ひんぷ	빈부
愚かな	おろかな	어리석은
巧妙な	こうみょうな	교묘한
憩い	いこい	휴식
需要	じゅよう	수요
緩和	かんわ	완화
跡地	あとち	"철거부지, 잔해"
枠	わく	테두리
網羅	もうら	망라
名誉	めいよ	명예
費やす	ついやす	소비하다
由緒	ゆいしょ	유서
手際	てぎわ	"솜씨, 수완"
群衆	ぐんしゅう	군중
覆す	くつがえす	뒤엎다
心地よい	ここちよい	"기분이 좋다, 상쾌하다"
改革	かいかく	개혁
克明	こくめい	① 자세하고 꼼꼼함 ② 성실하고 정직함
踏襲する	とうしゅうする	"답습하다, 전철을 밟다"
鈍る	にぶる	둔해지다
漠然と	ばくぜんと	막연히
閲覧	えつらん	열람
釈明	しゃくめい	"변명, 해명"
兆し	きざし	"조짐, 징조"
合併	がっぺい	합병
利益	りえき	이익
逃れる	のがれる	"벗어나다, 면하다"
考慮	こうりょ	고려
遮る	さえぎる	"가로막다, 차단하다"
根拠	こんきょ	근거
肝心	かんじん	중요함
本筋	ほんすじ	본론
伴奏	ばんそう	반주
推理	すいり	추리
極める	きわめる	"더없이 ~하다, 다하다"
練る	ねる	"① 반죽하다 ② (계획, 구상) 짜다 ③ (초안) 가다듬다"
締める	しめる	"① (끈 등으로) 매다 ② 죄다, 잠그다"
契約	けいやく	계약
潤う	うるおう	① 축축해지다 ② 혜택을 받다
手薄な	てうすな	"허술한, 불충분한"
壊す	こわす	"부수다, 고장내다"
華々しい	はなばなしい	화려하다
危ぶむ	あやぶむ	"의심하다, 걱정하다"
意義	いぎ	의의
至る	いたる	"이르다, 닥치다"
挑む	いどむ	도전하다
促す	うながす	"재촉하다, 촉구하다"
円滑な	えんかつな	원활한
演奏	えんそう	연주
大幅な	おおはばな	대폭적인
丘	おか	언덕
惜しむ	おしむ	"아끼다, 아쉬워하다"
襲う	おそう	"덮치다, 습격하다"
穏やかな	おだやかな	온화한
訪れ	おとずれ	"방문, 소식"
貝殻	かいがら	조개껍데기
海峡	かいきょう	해협
介護	かいご	간호
怪獣	かいじゅう	괴수
開拓	かいたく	개척
輝く	かがやく	빛나다
垣根	かきね	"울타리, (비유적으로) 장벽"
架空	かくう	가공
各種	かくしゅ	각종
駆ける	かける	"달리다, 뛰다"
火災	かさい	화재
稼ぐ	かせぐ	(돈을) 벌다
花壇	かだん	화단
頑丈	がんじょう	튼튼함
監督	かんとく	감독
企業	きぎょう	기업
戯曲	ぎきょく	희곡
既婚者	きこんしゃ	기혼자
厳しい	きびしい	"엄하다, 심하다"
寄附	きふ	기부
脚本	きゃくほん	"각본, 대본"
拒否	きょひ	거부
吟味	ぎんみ	"음미, 검토, 잘 조사하여 고름"
崩す	くずす	"무너뜨리다, 흩뜨리다"
工夫	くふう	"궁리, 고안"
詳しい	くわしい	"상세하다, 자세하다"
経緯	けいい	경위
欠陥	けっかん	결함
賢明な	けんめいな	현명한
行為	こうい	행위
