垢	あか	"때, 물때"	
顎	あご	턱	
麻	あさ	"삼, 삼베"	
脚	あし	(사람의) 다리	
値	あたい	"값어치, 가치, ~할 만함"	
当て	あて	"목표, 기대, 전망"	
網	あみ	"그물, 망"	
過ち	あやまち	"잘못, 실수"	
意	い	"뜻, 마음"	
異	い	"다름, 틀림"	
頂	いただき	"꼭대기, 정상"	
渦	うず	소용돌이	
疑い	うたがい	"의심, 혐의"	
器	うつわ	"그릇, 용기"	
裏	うら	"뒷면, 안감"	
潤い	うるおい	"습기, 보탬, 혜택"	
柄	え	"자루, 손잡이"	
尾	お	꼬리	
公	おおやけ	"공, 공공, 공정함"	
雄	おす	동물의 수컷	
恐れ	おそれ	두려움	
乙	おつ	을	
お宮	おみや	신사	
趣	おもむき	"풍취, 멋"	
核	かく	핵	
頭	かしら	"머리, 두목, 우두머리"	
角	かど	"모서리, 모퉁이"	
狩り	かり	사냥	
官	かん	"관, 관리, 관직"	
癌	がん	암	
絆	きずな	"고삐, 정, 인연, 유대"	
茎	くき	줄기	
管	くだ	"관, 대롱"	
蔵	くら	"곳간, 창고"	
形	けい	형	
芸	げい	"연예, 재주"	
汚れ	けがれ・よごれ	더러움	
獣	けもの	짐승	
甲	こう	갑	
志	こころざし	"뜻, 마음"	
暦	こよみ	달력	
凝り	こり	"뻐근함, 결림"	
杯	さかずき	술잔	
柵	さく	울타리	
策	さく	"책략, 계략"	
様	さま	"모양, 상태, 모습"	
侍	さむらい	무사	
酸	さん	산	
潮	しお	"조수, 밀물, 썰물, 바닷물"	
軸	じく	"축, 굴대"	
種	しゅ	"종, 종류, 종자"	
衆	しゅう	많은 사람	
末	すえ	"말, 사물의 끝"	
膳	ぜん	"밥상, 음식상"	
禅	ぜん	선	
相	そう	"상, 모습"	
僧	そう	승려	
隊	たい	부대	
丈	たけ	"키, 기장, 길이"	
盾	たて	방패	
魂	たましい	"영혼, 정신"	
宙	ちゅう	"공중, 하늘"	
腸	ちょう	창자	
対	つい	쌍	
筒	つつ	"통, 속이 비고 긴 관"	
角	つの	뿔	
露	つゆ	이슬	
棟	とう	"동, 집의 수를 세는 말"	
胴	どう	"몸통, 몸의 중앙부"	
扉	とびら	문	
供	とも	수행원	
情け	なさけ	"정, 인정"	
鉛	なまり	납	
並	なみ	"보통, 중간"	
賑わい	にぎわい	"흥청거림, 번화한"	
尿	にょう	"오줌, 소변"	
主	ぬし	"주인, 가장"	
沼	ぬま	늪	
音	ね	소리	
念	ねん	"생각, 마음, 주의함"	
延	のべ	"연, 총계"	
呪い	のろい	저주	
刃	は	(칼 따위의) 날	
肺	はい	폐	
