挨拶	あいさつ	인사
合図	あいず	"(눈짓, 몸짓, 소리) 신호"
相次ぐ	あいつぐ	"잇따르다, 연달다"
アイデア		"아이디어, 구상"
あいにく		공교롭게도
曖昧な	あいまいな	애매한
明かり	あかり	"등불, 불빛"
明らかな	あきらかな	분명한
悪影響	あくえいきょう	악영향
悪条件	あくじょうけん	악조건
悪天候	あくてんこう	악천후
あくび		하품
憧れ	あこがれ	동경
憧れる	あこがれる	동경하다
浅い	あさい	얕다
鮮やかな	あざやかな	"선명한, 또렷한"
足元	あしもと	발밑
預ける	あずける	맡기다
与える	あたえる	주다
温かい	あたたかい	다정하다
頭に来る	あたまにくる	화가 나다
辺り	あたり	"주변, 주위"
あちこち		이곳저곳
厚かましい	あつかましい	뻔뻔하다
圧勝	あっしょう	압승
圧倒的	あっとうてき	압도적
当てる	あてる	맞추다
アピール		"어필, 호소"
危ない	あぶない	"위험하다, 위태롭다"
溢れる	あふれる	넘치다
甘い	あまい	"달다, 엄하지 않다"
甘やかす	あまやかす	응석을 받아주다
アメリカ流	アメリカりゅう	미국식
怪しい	あやしい	수상하다
誤る	あやまる	"잘못되다, 실수하다, 틀리다"
誤り	あやまり	"잘못, 실수, 틀림"
荒い	あらい	"거칠다, 거세다"
予め	あらかじめ	"사전에, 미리"
争う	あらそう	"다투다, 경쟁하다"
改めて	あらためて	"다시, 재차, 새삼스레"
あらゆる		"모든, 온갖"
あるいは		"혹은, 또는"
アルファベット順	アルファベットじゅん	알파벳순
アレンジ		"어레인지, 변형, 각색"
慌ただしい	あわただしい	"어수선하다, 바쁘다"
慌てる	あわてる	"허둥대다, 당황하다"
哀れ	あわれ	"불쌍함, 가여움"
安易な	あんいな	"손쉬운, 안이한"
案外	あんがい	"뜻밖에, 의외로, 예상 외로"
案の定	あんのうじょう	"예상대로, 아니나 다를까"
いい加減な	いいかげんな	"건성인, 무책임한"
言い難い	いいがたい	말하기 어렵다
言い訳	いいわけ	변명
委員会	いいんかい	위원회
意外な	いがいな	의외인
医学界	いがくかい	의학계
生き生き	いきいき	"생생한 모양, 활기참"
勢い	いきおい	"기세, 힘"
いきなり		갑자기
息抜き	いきぬき	"잠시 쉬다, 숨을 돌리다"
育児	いくじ	육아
勇ましい	いさましい	용감하다
維持	いじ	유지
いじめる		괴롭히다
いじる		만지다
異常な	いじょうな	이상한
異色な	いしょくな	이색적인
泉	いずみ	샘
依然として	いぜんとして	여전히
忙しい	いそがしい	바쁘다
痛い	いたい	아프다
偉大な	いだいな	위대한
抱く	いだく	(마음에) 품다
傷む	いたむ	상하다
いちいち		"일일이, 하나하나"
一応	いちおう	"일단, 우선"
著しい	いちじるしい	"현저하다, 두드러지다"
一日おきに	いちにちおきに	하루 걸러
一気に	いっきに	단숨에
～一色	～いっしょく	~ 일색
一斉に	いっせいに	"일제히, 동시에"
一層	いっそう	한 층
いったん		"일단, 우선"
一転	いってん	완전히 바뀜
いつのまにか		어느새
移転	いてん	이전
緯度	いど	위도
祈る	いのる	기도하다
違反	いはん	위반
異文化	いぶんか	이문화
今に	いまに	머지않아
意欲	いよく	의욕
依頼	いらい	의뢰
いらいら		초조해 함
医療	いりょう	의료
岩	いわ	바위
祝い	いわい	축하(선물)
祝う	いわう	축하하다
いわば		"말하자면, 예를 들면"
いわゆる		"소위, 이른바"
印刷	いんさつ	인쇄
引退	いんたい	은퇴
引用	いんよう	인용
植木	うえき	"정원수, 분재"
伺う	うかがう	"여쭙다, 뵙다"
浮く	うく	"떠오르다, 들뜨다"
受け入れる	うけいれる	받아들이다
薄い	うすい	"얇다, 연하다, 싱겁다, 적다"
薄暗い	うすぐらい	"조금 어둡다, 침침하다"
薄める	うすめる	"묽게 하다, 연하게 하다"
疑い	うたがい	의심
疑う	うたがう	의심하다
打ち明ける	うちあける	"밝히다, 털어놓다"
打ち消す	うちけす	부정하다
宇宙	うちゅう	우주
映る	うつる	비치다
うつむく		고개를 숙이다
腕	うで	"팔, 솜씨"
うとうと		꾸벅꾸벅 조는 모양
うなずく		"수긍하다, 고개를 끄덕이다"
うわさ		소문
運送	うんそう	운송
永久	えいきゅう	"영구, 영원"
営業	えいぎょう	영업
会釈	えしゃく	가벼운 인사
エネルギー		에너지
絵の具	えのぐ	그림물감
偉い	えらい	훌륭하다
得る	える	얻다
延期	えんき	"연기, 미룸"
演技	えんぎ	연기
援助	えんじょ	"원조, 도움"
エンジン		엔진
演説	えんぜつ	연설
延長	えんちょう	연장
追い越す	おいこす	추월
オイル		"오일, 기름"
応援	おうえん	응원
応援団	おうえんだん	응원단
応対	おうたい	"응대, 접다"
横断	おうだん	횡단
欧米	おうべい	구미(유럽과 미국)
覆う	おおう	"덮다, 씌우다"
大げさな	おおげさな	과장된
大幅な	おおはばな	대폭적인
お菓子	おかし	과자
お構いなく	おかまいなく	신경 쓰지 마세요
お勘定	おかんじょう	"계산, 지불"
補う	おぎなう	보충하다
～億	～おく	~억
置く	おく	"놓다, 두다"
臆病	おくびょう	"겁쟁이, 겁이 많음"
贈る	おくる	선물하다
遅れる	おくれる	"늦다, 뒤쳐지다"
怒る	おこる	화내다
幼い	おさない	"어리다, 미숙하다, 유치하다"
納める	おさめる	"넣다, 납입하다, 납부하다"
おしゃべり		"수다, 수다스러움"
お世話になる	おせわになる	신세를 지다
おそらく		"아마, 어쩌면"
お互いに	おたがいに	서로
穏やかな	おだやかな	온화한
落ち込む	おちこむ	"기가 죽다, 침울해지다"
落ち着く	おちつく	"침착하다, 차분하다"
踊り	おどり	춤
劣る	おとる	뒤떨어지다
衰える	おとろえる	"쇠약해지다, 쇠퇴하다"
驚かせる	おどろかせる	놀래키다
主	おも	주된
思いがけない	おもいがけない	"의외의, 뜻밖의"
思い切って	おもいきって	과감히
思いつく	おもいつく	생각이 떠오르다
主に	おもに	주로
親子連れ	おやこづれ	부모와 자녀 동반
お湯	おゆ	더운 물
泳ぐ	およぐ	헤엄치다
およそ		"대략, 약"
お詫び	おわび	"사죄, 사과"
温厚な	おんこうな	온후한
温泉	おんせん	온천
温暖な	おんだんな	온난한
会員制	かいいんせい	회원제
会見	かいけん	회견
外見	がいけん	"(사람) 겉모습, 외견"
介護	かいご	"간호, 간병"
開催	かいさい	개최
改札口	かいさつぐち	개찰구
解散	かいさん	해산
買い占める	かいしめる	"(상품, 주식) 매점하다"
会社員風	かいしゃいんふう	회사원 같은
解消	かいしょう	해소
改正	かいせい	개정
改善	かいぜん	개선
改造	かいぞう	개조
会談	かいだん	회담
快適な	かいてきな	쾌적한
ガイド		"안내, 가이드"
回復	かいふく	회복
解約	かいやく	"해약, 해지"
抱える	かかえる	"(문제) 안다, 떠안다, 책임지다"
輝かしい	かがやかしい	"빛나다, 눈부시다"
かかりつけ		늘 같은 의사에게 진료받는
覚悟	かくご	각오
拡充	かくじゅう	확충
隠す	かくす	"감추다, 숨기다"
拡大	かくだい	확대
拡張	かくちょう	확장
学年別	がくねんべつ	학년별
確保	かくほ	확보
下降	かこう	"하강, 추락"
囲む	かこむ	둘러싸다
かさかさ		"꺼칠꺼칠함, 버석버석함"
重ねる	かさねる	"거듭하다, 겹치다"
賢い	かしこい	"현명하다, 영리하다"
過剰な	かじょうな	과잉인
かすかな	かすかな	"희미한, 어렴풋한"
風邪気味	かぜぎみ	감기 기운
家族連れ	かぞくづれ	가족 동반
肩	かた	어깨
傾く	かたむく	"기울다, 치우치다"
固める	かためる	굳히다
偏る	かたよる	치우치다
格好	かっこう	"모양, 모습"
がっかり		"낙담, 실망"
かつて		일찍이
勝手な	かってな	"제멋대로 구는, 제멋대로인"
活発な	かっぱつな	활발한
仮定	かてい	가정
叶う	かなう	이루어지다
必ず	かならず	"반드시, 꼭"
可能性	かのうせい	가능성
かばう		"감싸다, 비호하다"
壁	かべ	벽
構わない	かまわない	상관없다
貨物	かもつ	화물
空	から	속이 빔
辛い	からい	맵다
仮採用	かりさいよう	임시 채용
カロリー		"칼로리, 열량"
革靴	かわぐつ	가죽 구두
感覚	かんかく	감각
環境	かんきょう	환경
関係	かんけい	관계
簡潔な	かんけつな	간결한
観察	かんさつ	관찰
感謝	かんしゃ	감사
頑丈な	がんじょうな	튼튼하고 옹골찬
関心	かんしん	관심
感心	かんしん	"감탄, 기특함"
乾燥	かんそう	건조
観測	かんそく	관측
缶詰	かんづめ	통조림
願望	がんぼう	"바람, 소원"
勧誘	かんゆう	권유
管理	かんり	관리
管理下	かんりか	관리하
