愛飲	あいいん	"애음, 즐겨 마심"	
愛情	あいじょう	애정	
愛人	あいじん	"애인, 정부, 불륜 상대"	
愛着	あいちゃく	애착	
赤字	あかじ	적자	
悪意	あくい	악의	
握手	あくしゅ	악수	
悪魔	あくま	악마	
明け方	あけがた	"새벽녘, 동틀녘"	
足跡	あしあと	"발자취, 발자국"	
汗	あせ	땀	
愛	あい	사랑	
あだ		"적, 원수, 원한"	
圧縮	あっしゅく	압축	
集まり	あつまり	"모임, 회합"	
圧力	あつりょく	압력	
宛名	あてな	"받는 사람, 수신인"	
跡	あと	"자국, 흔적, 유적"	
後先	あとさき	"앞뒤, 전후"	
後始末	あとしまつ	"뒤치다꺼리, 뒤처리"	
雨戸	あまど	덧문	
余り	あまり	"나머지, 여분"	
編み物	あみもの	"편물, 뜨개질"	
あらすじ		"대충의 줄거리, 개요"	
現れ	あらわれ	"현상, 발로"	
あり		개미	
在り方	ありかた	"현실, 본연의 자세"	
安定	あんてい	안정	
あんばい		"간, 맛, 상태"	
安否	あんぴ	"안부, 안위"	
胃	い	위	
委員	いいん	위원	
医院	いいん	의원	
意義	いぎ	의의	
生き物	いきもの	생물	
幾分	いくぶん	"일부분, 조금, 약간"	
生け花	いけばな	꽃꽂이	
以後	いご	이후	
移行	いこう	이행	
遺産	いさん	유산	
意思	いし	"의사, 의향"	
意志	いし	"의지, 의욕"	
維持	いじ	유지	
移住	いじゅう	이주	
衣食住	いしょくじゅう	의식주	
板	いた	"판자, 널빤지"	
いたずら		못된 장난	
位置	いち	위치	
一助	いちじょ	"일조, 약간의 도움"	
一度	いちど	한 번	
市場	いちば	"시장, 장"	
一面	いちめん	일면	
一覧	いちらん	일람	
一家	いっか	일가	
一括	いっかつ	일괄	
一昨日	いっさくじつ	그저께	
一昨年	いっさくねん	재작년	
一瞬	いっしゅん	"일순, 일순간"	
一致	いっち	일치	
一定	いってい	일정	
一般	いっぱん	일반	
遺伝	いでん	유전	
意図	いと	의도	
井戸	いど	우물	
移動	いどう	이동	
異動	いどう	"이동, 인사이동"	
いとこ		사촌	
いとま		"틈, 겨를, 휴식"	
以内	いない	이내	
稲	いね	벼	
居眠り	いねむり	"말뚝잠, 앉아서 졺"	
衣服	いふく	"의복, 옷"	
意訳	いやく	의역	
入り口	いりぐち	입구	
入れ替え	いれかえ	"갈아 넣음, 교체"	
入れ物	いれもの	"용기, 그릇"	
印刷	いんさつ	인쇄	
飲酒	いんしゅ	음주	
飲料水	いんりょうすい	"음용수, 마실 물"	
引力	いんりょく	인력	
魚	うお	물고기	
うがい		양치질	
受け入れ	うけいれ	"받아들임, 승낙"	
受付	うけつけ	접수	
うさぎ		토끼	
内	うち	"안(쪽), 내부, 속"	
宇宙	うちゅう	우주	
写し	うつし	"(사진을) 찍음, 베낌"	
訴え	うったえ	"호소, 소송"	
打って付け	うってつけ	"알맞음, 안성맞춤"	
器	うつわ	"그릇, 용기"	
雨天	うてん	"우천, 비오는 날"	
うのみ		"통째로 삼킴, 그대로 받아들임"	
生まれ	うまれ	"탄생, 출생"	
有無	うむ	유무	
梅	うめ	매실	
裏口	うらぐち	뒷문	
恨み	うらみ	"원한, 앙심"	
売り出し	うりだし	매출	
雨量	うりょう	강우량	
憂い	うれい	"근심, 걱정"	
売れ行き	うれゆき	팔림새	
運	うん	"운, 운명"	
運河	うんが	운하	
運勢	うんせい	운세	
運用	うんよう	운용	
永遠	えいえん	영원	
影響	えいきょう	영향	
栄光	えいこう	영광	
英字	えいじ	"영자, 영문자"	
映写	えいしゃ	영사	
衛生	えいせい	위생	
映像	えいぞう	영상	
英文	えいぶん	영문	
栄養	えいよう	영양	
栄養分	えいようぶん	영양분	
英和	えいわ	"영일, 영어와 일본어"	
液	えき	"액, 즙, 액체"	
えさ		먹이	
枝葉	えだは	"지엽, 사소한 일"	
宴会	えんかい	"연회, 잔치"	
延期	えんき	"연기, 미룸"	
園芸	えんげい	원예	
演劇	えんげき	연극	
円周	えんしゅう	"원주, 원둘레"	
演習	えんしゅう	연습	
円熟	えんじゅく	원숙	
演出	えんしゅつ	연출	
煙突	えんとつ	굴뚝	
遠慮	えんりょ	"사양, 삼감"	
おい		조카	
王	おう	왕	
応急	おうきゅう	응급	
王様	おうさま	임금님	
王子	おうじ	왕자	
王女	おうじょ	공주	
往生	おうじょう	"체념, 단념, 난감함"	
応接	おうせつ	"응접, 접대"	
応答	おうとう	응답	
大通り	おおどおり	"(시내의) 큰길, 대로"	
大家	おおや	집주인	
丘	おか	"언덕, 작은 산"	
お菓子	おかし	과자	
沖	おき	먼 바다	
奥	おく	(깊숙한) 안쪽	
奥様	おくさま	"사모님, 안주인"	
遅れ	おくれ	늦음	
行い	おこない	"행실, 행동"	
お辞儀	おじぎ	"(머리 숙여) 절함, 인사함"	
汚染	おせん	오염	
夫	おっと	남편	
お手伝いさん	おてつだいさん	가사도우미	
落とし物	おとしもの	분실물	
驚き	おどろき	놀람	
鬼	おに	귀신	
おのおの		"각자, 각각"	
帯	おび	띠	
覚え	おぼえ	"기억, 경험, 이해"	
お参り	おまいり	"신불을 참배하러 감, 참배"	
思いつき	おもいつき	"문득 생각이 남, 착상"	
思い出	おもいで	추억	
おやつ		(오후에 먹는) 간식	
親指	おやゆび	"엄지손가락, 엄지발가락"	
織物	おりもの	직물	
恩	おん	은혜	
恩恵	おんけい	은혜	
温室	おんしつ	온실	
温帯	おんたい	온대	
