合図	あいず	"(눈짓, 몸짓, 소리) 신호"
相手	あいて	상대
飽きる	あきる	"질리다, 싫증나다"
あくび		하품
預ける	あずける	맡기다
汗	あせ	땀
温める	あたためる	"따뜻하게 하다, 데우다"
当たる	あたる	맞다
厚い	あつい	두껍다
扱う	あつかう	취급하다
アドバイス		"충고, 어드바이스"
穴	あな	구멍
溢れる	あふれる	넘치다
余る	あまる	남다
編む	あむ	"엮다, 뜨다"
表す	あらわす	나타내다
現れる	あらわれる	나타나다
あわ		거품
合わせる	あわせる	"맞추다, (마음을) 합치다"
暗記	あんき	암기
意外に	いがいに	의외로
息	いき	숨
以降	いこう	이후
意志	いし	의지
位置	いち	위치
一般的な	いっぱんてきな	일반적인
移動	いどう	이동
イメージ		이미지
岩	いわ	바위
印象	いんしょう	인상
インタビュー		인터뷰
受け入れる	うけいれる	받아들이다
受け取る	うけとる	"수취하다, 받다"
右折	うせつ	우회전
内側	うちがわ	안쪽
うっかり		"무심코, 깜빡, 멍청히"
疑う	うたがう	의심하다
美しい	うつくしい	아름답다
移す	うつす	옮기다
移る	うつる	"옮기다, 이동하다"
埋める	うめる	"묻다, 메우다"
裏	うら	"뒤, 뒤쪽"
うろうろ		허둥지둥
うわさ		소문
影響	えいきょう	영향
栄養	えいよう	영양
笑顔	えがお	웃는 얼굴
エネルギー		에너지
延期	えんき	연기
演奏	えんそう	연주
追い付く	おいつく	따라잡다
追う	おう	"좇다, 뒤따르다"
横断	おうだん	횡단
応援	おうえん	응원
応募	おうぼ	응모
応用	おうよう	응용
オーバー		초과
おかしい		이상하다
惜しい	おしい	아깝다
お互いに	おたがいに	서로
落ち着く	おちつく	"가라앉다, 침착하다"
溺れる	おぼれる	빠지다
主に	おもに	주로
降りる	おりる	(탈것에서) 내리다
折る	おる	접다
折れる	おれる	"부러지다, 꺾이다"
温泉	おんせん	온천
カーブ		커브
解決	かいけつ	해결
改札	かいさつ	개찰(구)
回収	かいしゅう	회수
香り	かおり	향기
外食	がいしょく	외식
返す	かえす	"돌리다, 돌려주다"
替える	かえる	"바꾸다, 교환하다"
換える	かえる	"바꾸다, 교환하다"
価格	かかく	가격
かかる		(병에) 걸리다
かき混ぜる	かきまぜる	뒤섞다
各駅	かくえき	각 역
確実な	かくじつな	확실한
隠す	かくす	"감추다, 숨기다"
各地	かくち	각지
家具	かぐ	가구
過去	かこ	과거
囲む	かこむ	"둘러싸다, 에워싸다"
