会う	あう	만나다
青い	あおい	파랗다
赤い	あかい	빨갛다
明るい	あかるい	밝다
上げる	あげる	"들다, 올리다"
あげる		주다
朝	あさ	아침
足	あし	발
明日	あした、あす	내일
遊ぶ	あそぶ	놀다
暖かい	あたたかい	따뜻하다
新しい	あたらしい	새롭다
後で	あとで	나중에
兄	あに	"형, 오빠"
アパート		아파트
浴びる	あびる	(샤워를) 하다
危ない	あぶない	위험하다
甘い	あまい	달다
雨	あめ	비
洗う	あらう	씻다
言う	いう	말하다
家	いえ	집
行く	いく	가다
いくら		얼마
医者	いしゃ	의사
忙しい	いそがしい	바쁘다
痛い	いたい	아프다
一度	いちど	한 번
一日	いちにち	하루
五日	いつか	5일
一週間	いっしゅうかん	1주일
五つ	いつつ	5개
一分	いっぷん	1분
犬	いぬ	개
入り口	いりぐち	입구
入れる	いれる	넣다
色々な	いろいろな	여러가지인
上	うえ	위
後ろ	うしろ	뒤
薄い	うすい	"얇다, 엷다, 얕다, 연하다"
生まれる	うまれる	태어나다
海	うみ	바다
売る	うる	팔다
うるさい	うるさい	시끄럽다
上着	うわぎ	상의
絵	え	그림
エアコン		에어컨
映画	えいが	영화
英語	えいご	영어
駅	えき	역
エレベーター		엘리베이터
円	えん	엔
鉛筆	えんぴつ	연필
おいしい		맛있다
多い	おおい	많다
大きい	おおきい	크다
大きな	おおきな	"큰, 커다란"
大勢	おおぜい	"많이, 많은 사람"
お母さん	おかあさん	어머니
お菓子	おかし	과자
お金	おかね	돈
起きる	おきる	일어나다
置く	おく	"놓다, 두다"
教える	おしえる	가르치다
おじさん		"삼촌, 아저씨"
押す	おす	누르다
遅い	おそい	"늦다, 느리다"
お父さん	おとうさん	아버지
男	おとこ	남자
男の子	おとこのこ	남자아이
男の人	おとこのひと	남자
一昨日	おととい	그저께
一昨年	おととし	재작년
大人	おとな	어른
同じ	おなじ	같은
お願いします	おねがいします	부탁합니다
お風呂	おふろ	목욕탕
覚える	おぼえる	외우다
重い	おもい	무겁다
面白い	おもしろい	재미있다
泳ぐ	およぐ	수영하다
下りる	おりる	내려가다
女	おんな	여자
女の子	おんなのこ	여자아이
女の人	おんなのひと	여자
～回	～かい	~회
～階	～かい	~층
外国	がいこく	외국
外国人	がいこくじん	외국인
会社	かいしゃ	회사
階段	かいだん	계단
買い物	かいもの	"쇼핑, 장보기"
買う	かう	사다
返る	かえる	반납하다
帰る	かえる	"돌아가다, 돌아오다"
かかる		"(시간, 돈 등이) 걸리다, 들다"
鍵	かぎ	열쇠
書く	かく	쓰다
かける		"걸다, (안경을) 쓰다"
風	かぜ	바람
風邪をひく	かぜをひく	감기에 걸리다
家族	かぞく	가족
学校	がっこう	학교
角	かど	모퉁이
かばん		가방
被る	かぶる	(모자를) 쓰다
カメラ		카메라
火曜日	かようび	화요일
辛い	からい	맵다
借りる	かりる	빌리다
軽い	かるい	가볍다
カレンダー		달력
川	かわ	강
簡単な	かんたんな	"간단한, 쉬운"
木	き	나무
消える	きえる	"꺼지다, 사라지다"
聞く	きく	"듣다, 묻다"
北	きた	북쪽
ギター		기타
北側	きたがわ	"북쪽, 북쪽 방면"
喫茶店	きっさてん	"찻집, 카페"
切手	きって	우표
切符	きっぷ	표
昨日	きのう	어제
90人	きゅうじゅうにん	90명
9000円	きゅうせんえん	9천엔
牛乳	ぎゅうにゅう	우유
9本	きゅうほん	9자루
教室	きょうしつ	교실
兄弟	きょうだい	형제
去年	きょねん	작년
切る	きる	자르다
きれいな		"깨끗한, 예쁜"
～キロ		~킬로(미터)
金曜日	きんようび	금요일
銀行	ぎんこう	은행
9月	くがつ	9월
9時	くじ	9시
9時半	くじはん	9시 반
果物	くだもの	과일
口	くち	입구
国	くに	"나라, 국가"
暗い	くらい	어둡다
グラム		그램
来る	くる	오다
車	くるま	차
黒い	くろい	검다
今朝	けさ	오늘 아침
消す	けす	"끄다, 없애다"
結構な	けっこうな	"충분한, 괜찮은"
結婚	けっこん	결혼
元気な	げんきな	건강한
～個	～こ	~개
公園	こうえん	공원
交差点	こうさてん	교차로
紅茶	こうちゃ	홍차
コーヒー		커피
5回	ごかい	5회
午後	ごご	오후
9つ	ここのつ	9개
午前中	ごぜんちゅう	오전 중
こちら		"이분, 이쪽"
こちらこそ		저야말로
ごちそうさま		잘 먹었습니다
今年	ことし	올해
子ども	こども	아이
ご飯	ごはん	밥
困る	こまる	"곤란하다, 난처하다"
5万	ごまん	5만
今月	こんげつ	이번 달
今週	こんしゅう	이번 주
財布	さいふ	지갑
魚	さかな	"물고기, 생선"
先	さき	"먼저, 앞"
咲く	さく	불다
さす		(우산을) 쓰다
～冊	～さつ	~권
雑誌	ざっし	잡지
砂糖	さとう	설탕
寒い	さむい	춥다
3000円	さんぜんえん	3천 엔
3600円	さんぜんろっぴゃくえん	3천 6백 엔
散歩	さんぽ	산책
30000円	さんまんえん	3만 엔
3分	さんぷん	3분
3本	さんぼん	3병
試合	しあい	시합
4月	しがつ	4월
時間	じかん	시간
仕事	しごと	"일, 업무"
静かな	しずかな	조용한
辞書	じしょ	사전
下	した	아래
したい		하고 싶다
7月	しちがつ	7월
7時	しちじ	7시
失礼します	しつれいします	실례합니다
自動車	じどうしゃ	자동차
閉まる	しまる	닫히다
閉める	しめる	닫다
写真	しゃしん	사진
写真を撮る	しゃしんをとる	사진을 찍다
シャツ		셔츠
シャワー		샤워
授業	じゅぎょう	수업
宿題	しゅくだい	숙제
上手な	じょうずな	"능숙한, 잘 하는"
丈夫な	じょうぶな	튼튼한
食堂	しょくどう	식당
知る	しる	알다
白い	しろい	하얗다
新聞	しんぶん	신문
スイッチ		스위치
水曜日	すいようび	수요일
吸う	すう	피우다
スカート		"스커트, 치마"
スキー		스키
好きな	すきな	좋아하는
少ない	すくない	적다
すぐに		바로
少し	すこし	조금
進む	すすむ	진행하다
ストーブ		"스토브, 난로"
スペイン		스페인
スポーツ		스포츠
住む	すむ	살다
セーター		스웨터
狭い	せまい	좁다
1000円	せんえん	1000엔
先月	せんげつ	지난달
先週	せんしゅう	지난주
掃除	そうじ	청소
先生	せんせい	선생님
全部	ぜんぶ	전부
外	そと	밖
側	そば	옆
祖父	そふ	"할아버지, 조부"
祖母	そぼ	"할머니, 조모"
空	そら	하늘
それでは		그럼
～代	～だい	~대
大学	だいがく	대학(교)
大丈夫な	だいじょうぶな	괜찮은
大切な	たいせつな	중요한
大抵	たいてい	대개
台所	だいどころ	부엌
大変な	たいへんな	힘든
高い	たかい	"높다, 비싸다"
たくさん		많이
タクシー		택시
出す	だす	"꺼내다, 부치다, 내다, 제출하다"
立つ	たつ	서다
建物	たてもの	건물
楽しい	たのしい	즐겁다
多分	たぶん	아마
食べ物	たべもの	"음식, 먹을 것"
食べる	たべる	먹다
誕生日	たんじょうび	생일
段々	だんだん	점점
小さい	ちいさい	작다
近い	ちかい	가깝다
違う	ちがう	"다르다, 틀리다"
近く	ちかく	근처
